DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx
01/30/1959,0.009120,0.008122,0.041502,0.039994,0.003804,55.42
02/27/1959,0.011220,0.006813,0.028112,0.024732,-0.000180,55.41
03/31/1959,0.004669,0.002113,0.012223,0.008897,0.000541,55.44
04/30/1959,0.037899,0.036877,0.025714,0.024424,0.038781,57.59
05/29/1959,0.019595,0.015364,0.008206,0.004669,0.018927,58.68
06/30/1959,0.000676,-0.001865,0.004149,0.000969,-0.003579,58.47
07/31/1959,0.034362,0.033327,0.030062,0.028773,0.034890,60.51
08/31/1959,-0.012446,-0.016502,-0.014839,-0.018107,-0.015039,59.60
09/30/1959,-0.044977,-0.047403,-0.045760,-0.049165,-0.045638,56.88
10/30/1959,0.015746,0.014613,0.023206,0.021608,0.011252,57.52
11/30/1959,0.018557,0.013272,0.015040,0.010750,0.013213,58.28
12/31/1959,0.028043,0.025271,0.021177,0.017354,0.027625,59.89
01/29/1960,-0.066244,-0.067191,-0.039202,-0.040413,-0.071464,55.61
02/29/1960,0.014419,0.009714,0.008478,0.004767,0.009171,56.12
03/31/1960,-0.012822,-0.015488,-0.024876,-0.028333,-0.013899,55.34
04/29/1960,-0.015271,-0.016329,-0.019730,-0.021036,-0.017528,54.37
05/31/1960,0.034098,0.029279,0.025546,0.021181,0.026853,55.83
06/30/1960,0.022833,0.020134,0.021609,0.018178,0.019524,56.92
07/29/1960,-0.022705,-0.023635,-0.019598,-0.020974,-0.024772,55.51
08/31/1960,0.032215,0.027065,0.037948,0.033423,0.026121,56.96
09/30/1960,-0.058673,-0.060860,-0.059524,-0.062200,-0.060393,53.52
10/31/1960,-0.004705,-0.005921,-0.023230,-0.024778,-0.002429,53.39
11/30/1960,0.048617,0.042646,0.046494,0.041249,0.040270,55.54
12/30/1960,0.048537,0.046230,0.037495,0.034238,0.046273,58.11
01/31/1961,0.063952,0.062787,0.082048,0.080591,0.063156,61.78
02/28/1961,0.037005,0.032834,0.060130,0.056590,0.026870,63.44
03/30/1961,0.030610,0.028347,0.049888,0.047050,0.025536,65.06
04/28/1961,0.005645,0.004884,0.009487,0.008395,0.003843,65.31
05/31/1961,0.025894,0.021619,0.041572,0.037954,0.019139,66.56
06/30/1961,-0.028499,-0.030570,-0.042415,-0.044966,-0.028846,64.64
07/31/1961,0.029955,0.029207,0.011517,0.010392,0.032797,66.76
08/31/1961,0.026854,0.021872,0.021358,0.017798,0.019623,68.07
09/29/1961,-0.019990,-0.021266,-0.029686,-0.031799,-0.019686,66.73
10/31/1961,0.027331,0.026092,0.020988,0.019626,0.028323,68.62
11/30/1961,0.045451,0.039879,0.046461,0.042524,0.039347,71.32
12/29/1961,0.000713,-0.000599,-0.003757,-0.006237,0.003225,71.55
01/31/1962,-0.036147,-0.037488,-0.007807,-0.009072,-0.037876,68.84
02/28/1962,0.019512,0.015252,0.015405,0.012233,0.016270,69.96
03/30/1962,-0.004688,-0.006113,-0.006241,-0.008615,-0.005860,69.55
04/30/1962,-0.063435,-0.064212,-0.068134,-0.069271,-0.061970,65.24
05/31/1962,-0.084620,-0.089763,-0.098186,-0.101936,-0.085990,59.63
06/29/1962,-0.082615,-0.084336,-0.085125,-0.087909,-0.081838,54.75
07/31/1962,0.065438,0.064129,0.064000,0.062423,0.063562,58.23
08/31/1962,0.023417,0.017888,0.037308,0.034298,0.015284,59.12
09/28/1962,-0.050158,-0.051786,-0.064045,-0.066217,-0.048207,56.27
10/31/1962,0.002188,0.000431,-0.039485,-0.040949,0.004443,56.52
11/30/1962,0.110137,0.102924,0.121176,0.117260,0.101557,62.26
12/31/1962,0.011865,0.010056,-0.025561,-0.028471,0.013492,63.10
01/31/1963,0.051848,0.050475,0.089140,0.087813,0.049128,66.20
02/28/1963,-0.021931,-0.026608,-0.014477,-0.017084,-0.028852,64.29
03/29/1963,0.032917,0.031233,0.012027,0.009732,0.035464,66.57
04/30/1963,0.047439,0.046435,0.026890,0.025615,0.048520,69.80
05/31/1963,0.020051,0.014726,0.032306,0.029433,0.014327,70.80
06/28/1963,-0.018030,-0.019459,-0.010383,-0.012566,-0.020198,69.37
07/31/1963,-0.001717,-0.002995,-0.006304,-0.007523,-0.003460,69.13
08/30/1963,0.052684,0.048035,0.042305,0.039659,0.048749,72.50
09/30/1963,-0.011898,-0.013316,-0.010373,-0.012468,-0.011034,71.70
10/31/1963,0.027708,0.026276,0.012208,0.010860,0.032218,74.01
11/29/1963,-0.005549,-0.011692,-0.016139,-0.019194,-0.010539,73.23
12/31/1963,0.021737,0.019978,-0.004228,-0.007261,0.024444,75.02
01/31/1964,0.025790,0.024731,0.032092,0.030823,0.026926,77.04
02/28/1964,0.017207,0.012653,0.025173,0.022570,0.009865,77.80
03/31/1964,0.017636,0.015967,0.025510,0.023102,0.015167,78.98
04/30/1964,0.004607,0.003672,0.001004,-0.000196,0.006077,79.46
05/28/1964,0.017403,0.012531,0.007507,0.004985,0.011452,80.37
06/30/1964,0.015080,0.013413,0.010411,0.007830,0.016424,81.69
07/31/1964,0.020118,0.019127,0.030161,0.028950,0.018240,83.18
08/31/1964,-0.011266,-0.015575,-0.006038,-0.008416,-0.016230,81.83
09/30/1964,0.030480,0.028792,0.038248,0.035831,0.028718,84.18
10/30/1964,0.008869,0.007730,0.018821,0.017465,0.008078,84.86
11/30/1964,0.003090,-0.002673,-0.000516,-0.003401,-0.005185,84.42
12/31/1964,0.003690,0.001939,-0.012365,-0.015461,0.003909,84.75
01/29/1965,0.038646,0.037663,0.071403,0.070179,0.033156,87.56
02/26/1965,0.006946,0.002634,0.032315,0.029880,-0.001485,87.43
03/31/1965,-0.009715,-0.011428,0.015393,0.012949,-0.014526,86.16
04/30/1965,0.033652,0.032737,0.041560,0.040314,0.034239,89.11
05/28/1965,-0.004351,-0.009102,-0.005845,-0.008334,-0.007743,88.42
06/30/1965,-0.051868,-0.053592,-0.083718,-0.086084,-0.048632,84.12
07/30/1965,0.016760,0.015871,0.028633,0.027467,0.013433,85.25
08/31/1965,0.030883,0.026133,0.041844,0.039063,0.022522,87.17
09/30/1965,0.031952,0.030357,0.027420,0.025166,0.032006,89.96
10/29/1965,0.029271,0.028212,0.058679,0.057320,0.027345,92.42
11/30/1965,0.003065,-0.002961,0.046544,0.043328,-0.008764,91.61
12/31/1965,0.013545,0.011976,0.042981,0.040331,0.008951,92.43
01/31/1966,0.012122,0.011231,0.064170,0.063045,0.004869,92.88
02/28/1966,-0.008621,-0.013014,0.028865,0.026482,-0.017873,91.22
03/31/1966,-0.020923,-0.022747,-0.008889,-0.011332,-0.021815,89.23
04/29/1966,0.024837,0.023853,0.046619,0.045527,0.020509,91.06
05/31/1966,-0.052538,-0.057483,-0.086024,-0.088775,-0.054140,86.13
06/30/1966,-0.010317,-0.012063,-0.004988,-0.007341,-0.016138,84.74
07/29/1966,-0.012870,-0.013831,-0.016316,-0.017468,-0.013453,83.60
08/31/1966,-0.075388,-0.080712,-0.100714,-0.103821,-0.077751,77.10
09/30/1966,-0.006958,-0.008696,-0.018161,-0.020555,-0.007004,76.56
10/31/1966,0.042294,0.041171,-0.014385,-0.015886,0.047544,80.20
11/30/1966,0.017516,0.010606,0.040725,0.036535,0.003117,80.45
12/30/1966,0.006210,0.004410,0.017306,0.014408,-0.001492,80.33
01/31/1967,0.085530,0.084077,0.172104,0.170549,0.078178,86.61
02/28/1967,0.010945,0.006257,0.042368,0.039194,0.001963,86.78
03/31/1967,0.043384,0.041582,0.058244,0.055882,0.039410,90.20
04/28/1967,0.041609,0.040696,0.041928,0.040671,0.042239,94.01
05/31/1967,-0.039293,-0.044217,-0.008098,-0.011058,-0.052441,89.08
06/30/1967,0.026902,0.025341,0.081958,0.079861,0.017512,90.64
07/31/1967,0.049190,0.048278,0.083251,0.082097,0.045344,94.75
